fixed acidity,residual sugar,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol,type
Medium,High,Medium,Medium,Medium,Medium,MediumLow,White
MediumLow,Medium,MediumLow,MediumLow,High,Medium,Medium,Red
High,Medium,MediumLow,MediumLow,MediumHigh,High,High,Red
High,High,MediumHigh,MediumHigh,High,Medium,MediumLow,White
High,MediumLow,MediumHigh,MediumHigh,High,MediumLow,MediumHigh,White
High,MediumHigh,High,MediumHigh,Medium,High,MediumLow,Red
MediumLow,MediumLow,Medium,MediumHigh,MediumHigh,MediumLow,MediumHigh,White
High,High,Medium,MediumHigh,Medium,MediumLow,MediumLow,White
High,MediumLow,MediumHigh,MediumLow,High,High,Medium,Red
High,MediumHigh,High,High,Medium,Medium,MediumHigh,White
MediumHigh,MediumHigh,Medium,MediumHigh,Medium,Medium,High,White
MediumHigh,High,High,High,MediumHigh,High,MediumLow,White
MediumLow,Medium,Medium,Medium,MediumLow,MediumLow,High,White
MediumHigh,Medium,MediumLow,MediumLow,High,MediumLow,Medium,Red
Medium,MediumLow,Medium,Medium,MediumLow,MediumHigh,High,White
Medium,High,MediumHigh,MediumHigh,MediumLow,MediumLow,MediumHigh,White
MediumHigh,High,MediumHigh,High,MediumLow,Medium,MediumLow,White
MediumLow,MediumHigh,MediumLow,Medium,MediumHigh,MediumLow,MediumHigh,White
MediumHigh,MediumHigh,Medium,MediumHigh,MediumLow,MediumHigh,High,White
Medium,High,High,High,MediumHigh,MediumHigh,MediumHigh,White
MediumHigh,High,High,High,MediumLow,Medium,MediumLow,White
MediumLow,MediumLow,MediumHigh,High,MediumHigh,Medium,Medium,White
MediumLow,High,MediumHigh,High,Medium,Medium,MediumLow,White
MediumHigh,High,High,High,MediumLow,MediumLow,MediumLow,White
MediumLow,Medium,Medium,Medium,High,MediumHigh,High,White
High,Medium,MediumLow,MediumLow,MediumHigh,MediumHigh,Medium,Red
High,Medium,Medium,MediumLow,MediumLow,High,MediumLow,Red
Medium,MediumLow,MediumHigh,Medium,MediumHigh,MediumHigh,MediumHigh,White
High,MediumHigh,Medium,Medium,MediumHigh,MediumHigh,High,White
High,Medium,MediumLow,MediumLow,Medium,High,High,Red
MediumHigh,Medium,MediumLow,MediumLow,MediumHigh,MediumHigh,Medium,Red
MediumLow,Medium,MediumHigh,MediumHigh,High,High,High,White
High,MediumLow,High,MediumLow,High,High,MediumHigh,Red
MediumHigh,MediumHigh,Medium,Medium,MediumHigh,Medium,MediumHigh,White
MediumHigh,MediumLow,Medium,Medium,MediumLow,High,MediumHigh,White
High,MediumLow,Medium,MediumLow,MediumLow,MediumHigh,MediumHigh,White
Medium,Medium,Medium,MediumLow,High,High,MediumHigh,Red
MediumLow,Medium,Medium,MediumHigh,High,High,High,White
Medium,High,Medium,High,MediumLow,MediumHigh,MediumLow,White
MediumHigh,High,High,High,MediumLow,Medium,Medium,White
High,MediumHigh,MediumLow,MediumLow,MediumHigh,High,MediumHigh,Red
MediumHigh,High,High,High,MediumLow,Medium,MediumLow,White
High,MediumHigh,MediumLow,MediumLow,MediumHigh,MediumHigh,High,Red
High,High,High,High,Medium,Medium,Medium,White
MediumLow,MediumLow,MediumLow,Medium,MediumHigh,MediumHigh,Medium,White
MediumHigh,High,High,High,Medium,MediumLow,Medium,White
High,Medium,MediumLow,MediumLow,MediumHigh,High,Medium,Red
High,MediumHigh,MediumLow,MediumLow,MediumHigh,Medium,Medium,Red
MediumLow,MediumHigh,High,MediumHigh,Medium,MediumLow,High,White
MediumLow,MediumLow,MediumHigh,Medium,High,MediumLow,High,White
MediumLow,Medium,MediumHigh,Medium,Medium,MediumLow,High,White
Medium,MediumHigh,MediumHigh,High,High,Medium,High,White
Medium,High,High,High,Medium,Medium,Medium,White
MediumHigh,MediumLow,High,MediumHigh,MediumHigh,MediumLow,Medium,White
High,High,MediumHigh,High,Medium,Medium,MediumHigh,White
Medium,MediumLow,MediumHigh,MediumHigh,Medium,Medium,MediumLow,White
High,High,Medium,Medium,MediumLow,Medium,High,White
MediumLow,MediumHigh,MediumHigh,MediumHigh,Medium,Medium,Medium,White
MediumHigh,High,MediumLow,MediumLow,MediumLow,MediumLow,MediumHigh,White
MediumLow,MediumLow,MediumHigh,Medium,Medium,Medium,Medium,White
MediumHigh,MediumHigh,MediumLow,MediumLow,MediumHigh,High,High,Red
MediumLow,MediumHigh,MediumHigh,MediumHigh,MediumLow,MediumLow,MediumHigh,White
High,Medium,MediumLow,MediumLow,MediumHigh,High,MediumLow,Red
High,MediumLow,MediumLow,MediumLow,MediumLow,High,MediumLow,Red
MediumHigh,MediumLow,Medium,Medium,Medium,High,MediumHigh,White
MediumLow,MediumHigh,MediumHigh,High,High,High,Medium,White
MediumHigh,Medium,MediumLow,MediumLow,MediumHigh,MediumHigh,Medium,Red
High,MediumLow,Medium,MediumLow,High,High,Medium,Red
MediumLow,MediumHigh,MediumHigh,MediumHigh,High,MediumHigh,High,White
High,MediumHigh,Medium,Medium,MediumHigh,High,MediumHigh,White
MediumHigh,High,MediumHigh,MediumHigh,MediumLow,MediumLow,High,White
Medium,High,High,High,MediumLow,MediumLow,MediumLow,White
Medium,Medium,High,High,Medium,MediumLow,MediumLow,White
High,MediumHigh,MediumHigh,MediumHigh,Medium,MediumHigh,Medium,White
High,Medium,Medium,MediumLow,MediumHigh,High,Medium,Red
MediumLow,MediumLow,MediumHigh,Medium,High,High,MediumHigh,White
High,Medium,MediumLow,MediumLow,High,High,MediumHigh,Red
Medium,Medium,MediumLow,Medium,MediumLow,MediumLow,MediumHigh,White
Medium,Medium,MediumLow,High,MediumLow,MediumHigh,High,White
MediumHigh,Medium,MediumHigh,MediumLow,MediumHigh,High,Medium,Red
MediumHigh,MediumLow,MediumLow,MediumLow,High,Medium,Medium,White
MediumLow,MediumLow,MediumHigh,Medium,High,MediumLow,High,White
MediumLow,High,Medium,Medium,MediumHigh,MediumLow,MediumHigh,White
Medium,MediumHigh,High,High,MediumLow,Medium,MediumLow,White
Medium,MediumHigh,MediumHigh,Medium,Medium,High,High,White
Medium,MediumLow,MediumLow,MediumHigh,MediumLow,MediumLow,MediumHigh,White
MediumLow,Medium,MediumLow,MediumLow,High,Medium,MediumHigh,White
MediumLow,High,High,MediumHigh,MediumHigh,MediumLow,MediumLow,White
MediumHigh,Medium,MediumHigh,Medium,Medium,MediumLow,MediumHigh,White
High,MediumHigh,MediumHigh,MediumHigh,Medium,Medium,MediumHigh,White
MediumLow,High,Medium,Medium,MediumHigh,High,Medium,White
Medium,MediumHigh,High,High,Medium,Medium,MediumLow,White
High,MediumHigh,MediumHigh,Medium,MediumLow,MediumLow,High,White
Medium,Medium,MediumLow,MediumLow,High,High,High,Red
MediumHigh,Medium,Medium,MediumLow,High,MediumHigh,MediumHigh,Red
Medium,MediumHigh,Medium,Medium,MediumHigh,High,High,White
MediumLow,MediumHigh,Medium,MediumLow,High,MediumLow,High,White
MediumHigh,High,MediumLow,MediumLow,Medium,MediumLow,High,White
Medium,MediumHigh,High,High,Medium,MediumHigh,MediumLow,White
MediumLow,MediumLow,MediumHigh,MediumHigh,MediumLow,MediumLow,High,White
MediumHigh,High,High,High,High,MediumLow,MediumLow,White
High,MediumLow,MediumLow,High,Medium,Medium,Medium,White
High,Medium,MediumLow,MediumLow,Medium,MediumHigh,MediumHigh,Red
MediumHigh,High,High,High,MediumLow,MediumHigh,MediumLow,White
High,High,High,MediumHigh,Medium,MediumHigh,MediumHigh,White
Medium,MediumHigh,MediumHigh,MediumHigh,High,MediumHigh,MediumHigh,White
Medium,MediumLow,MediumHigh,MediumHigh,High,MediumHigh,MediumHigh,White
Medium,High,High,High,Medium,Medium,Medium,White
Medium,Medium,Medium,MediumHigh,Medium,Medium,MediumHigh,White
MediumHigh,High,High,High,MediumLow,MediumHigh,Medium,White
High,Medium,MediumLow,MediumLow,MediumHigh,MediumHigh,High,Red
MediumLow,MediumHigh,High,MediumHigh,MediumHigh,High,MediumHigh,White
MediumHigh,High,High,Medium,Medium,MediumLow,Medium,White
Medium,High,High,MediumHigh,Medium,MediumHigh,Medium,White
High,Medium,MediumHigh,MediumLow,High,High,High,Red
High,MediumLow,Medium,MediumLow,Medium,Medium,MediumLow,Red
MediumHigh,High,MediumHigh,High,Medium,High,MediumLow,White
MediumLow,Medium,Medium,MediumLow,High,Medium,MediumHigh,Red
MediumHigh,MediumHigh,Medium,Medium,MediumLow,MediumLow,MediumLow,White
MediumHigh,Medium,MediumLow,Medium,Medium,MediumLow,MediumLow,White
MediumLow,MediumHigh,MediumLow,Medium,High,Medium,High,White
Medium,High,Medium,Medium,High,Medium,Medium,White
High,MediumLow,MediumLow,MediumLow,Medium,MediumHigh,Medium,Red
MediumLow,MediumLow,Medium,MediumLow,MediumHigh,MediumHigh,High,White
MediumHigh,MediumLow,Medium,Medium,Medium,Medium,MediumHigh,White
High,Medium,MediumLow,MediumLow,High,High,MediumHigh,Red
Medium,MediumLow,MediumHigh,MediumLow,High,High,Medium,Red
Medium,MediumLow,MediumHigh,Medium,Medium,High,High,White
MediumHigh,MediumLow,MediumHigh,MediumLow,High,Medium,MediumLow,Red
MediumHigh,High,MediumHigh,High,MediumHigh,MediumHigh,MediumHigh,White
High,Medium,MediumLow,MediumLow,Medium,MediumHigh,MediumHigh,Red
MediumHigh,MediumLow,MediumHigh,MediumHigh,Medium,MediumLow,High,White
High,High,High,High,MediumLow,MediumHigh,MediumLow,White
Medium,MediumLow,MediumHigh,Medium,MediumHigh,MediumLow,MediumHigh,White
MediumHigh,High,High,High,MediumLow,Medium,MediumLow,White
MediumHigh,MediumLow,Medium,MediumLow,MediumLow,High,Medium,White
MediumHigh,MediumHigh,Medium,MediumHigh,MediumHigh,MediumLow,MediumLow,White
MediumLow,MediumLow,MediumLow,Medium,High,MediumHigh,MediumHigh,White
High,MediumHigh,Medium,MediumHigh,MediumHigh,MediumHigh,Medium,White
MediumHigh,High,High,High,MediumLow,High,Medium,White
High,MediumHigh,Medium,MediumLow,MediumHigh,High,MediumHigh,Red
MediumHigh,High,MediumLow,MediumLow,MediumHigh,MediumLow,High,White
MediumHigh,Medium,MediumLow,MediumLow,High,High,MediumHigh,Red
Medium,High,MediumHigh,MediumHigh,MediumLow,Medium,MediumLow,White
MediumHigh,MediumLow,MediumLow,High,MediumHigh,MediumLow,MediumHigh,White
Medium,MediumLow,MediumHigh,High,MediumLow,MediumLow,MediumHigh,White
MediumLow,Medium,MediumLow,MediumLow,High,MediumHigh,High,Red
Medium,Medium,Medium,Medium,Medium,MediumLow,MediumHigh,White
Medium,MediumLow,MediumHigh,MediumHigh,MediumLow,MediumLow,High,White
MediumHigh,Medium,Medium,MediumLow,MediumHigh,High,High,Red
MediumLow,Medium,Medium,Medium,MediumLow,Medium,High,White
MediumHigh,MediumHigh,High,High,Medium,High,Medium,White
High,MediumLow,Medium,MediumHigh,MediumHigh,Medium,Medium,White
Medium,High,High,High,MediumHigh,MediumLow,MediumHigh,White
High,High,Medium,MediumHigh,MediumLow,MediumLow,High,White
Medium,Medium,Medium,MediumLow,Medium,Medium,High,White
MediumHigh,Medium,MediumLow,MediumLow,High,Medium,MediumHigh,Red
MediumHigh,Medium,Medium,Medium,High,MediumHigh,Medium,Red
Medium,Medium,Medium,MediumLow,MediumLow,MediumLow,High,White
MediumLow,MediumHigh,MediumHigh,MediumHigh,Medium,Medium,Medium,White
MediumHigh,High,High,High,MediumLow,Medium,MediumLow,White
High,Medium,Medium,MediumHigh,Medium,Medium,Medium,White
MediumLow,MediumLow,MediumLow,MediumLow,Medium,Medium,Medium,White
MediumHigh,MediumHigh,MediumLow,MediumLow,High,MediumHigh,MediumLow,Red
MediumLow,High,MediumHigh,High,Medium,Medium,Medium,White
High,High,High,MediumHigh,MediumLow,MediumLow,MediumHigh,White
Medium,High,High,High,Medium,Medium,Medium,White
MediumHigh,MediumHigh,High,High,Medium,MediumHigh,Medium,White
High,MediumHigh,MediumLow,MediumLow,MediumHigh,MediumHigh,High,Red
Medium,MediumHigh,MediumHigh,MediumHigh,High,Medium,Medium,White
MediumLow,MediumHigh,MediumHigh,MediumHigh,MediumHigh,MediumLow,High,White
MediumLow,Medium,MediumHigh,High,High,Medium,High,White
MediumHigh,MediumLow,Medium,Medium,Medium,Medium,MediumLow,White
MediumLow,MediumLow,MediumHigh,MediumHigh,High,MediumHigh,High,White
High,MediumLow,MediumHigh,MediumHigh,Medium,Medium,Medium,White
Medium,High,High,High,MediumLow,Medium,Medium,White
High,Medium,MediumLow,MediumLow,High,High,MediumLow,Red
MediumHigh,MediumLow,MediumLow,MediumLow,High,MediumLow,Medium,White
MediumHigh,MediumHigh,MediumLow,Medium,Medium,MediumLow,MediumLow,White
Medium,MediumHigh,High,MediumHigh,MediumLow,MediumLow,MediumLow,White
High,Medium,High,MediumHigh,Medium,Medium,Medium,White
MediumLow,MediumLow,MediumHigh,Medium,High,MediumLow,High,White
MediumLow,MediumLow,MediumLow,Medium,Medium,MediumLow,MediumLow,White
Medium,MediumLow,MediumLow,MediumHigh,MediumLow,MediumLow,MediumHigh,White
Medium,High,High,High,Medium,MediumHigh,MediumLow,White
Medium,MediumHigh,High,MediumHigh,Medium,MediumLow,MediumHigh,White
MediumHigh,Medium,MediumLow,MediumLow,High,MediumHigh,MediumHigh,Red
High,Medium,MediumHigh,Medium,MediumLow,Medium,Medium,White
Medium,MediumHigh,MediumLow,Medium,Medium,MediumHigh,MediumHigh,White
High,Medium,MediumLow,MediumLow,MediumLow,High,MediumHigh,Red
Medium,MediumLow,Medium,Medium,MediumHigh,High,Medium,White
MediumLow,Medium,MediumLow,MediumLow,High,MediumHigh,MediumLow,Red
MediumHigh,MediumLow,High,MediumHigh,High,High,MediumHigh,White
High,Medium,MediumLow,MediumLow,Medium,High,MediumLow,Red
High,Medium,Medium,MediumLow,High,High,High,Red
MediumLow,High,High,High,High,Medium,Medium,White
Medium,High,MediumLow,Medium,MediumLow,Medium,MediumLow,White
MediumHigh,MediumLow,MediumHigh,MediumHigh,Medium,MediumLow,MediumHigh,White
High,MediumHigh,MediumLow,MediumLow,Medium,High,High,Red
High,Medium,MediumLow,MediumLow,MediumLow,High,MediumLow,Red
MediumLow,Medium,Medium,Medium,High,High,Medium,White
MediumLow,High,High,High,MediumLow,Medium,MediumHigh,White
MediumHigh,High,Medium,MediumHigh,MediumHigh,MediumLow,High,White
Medium,Medium,MediumHigh,MediumLow,MediumHigh,High,High,White
MediumLow,MediumHigh,High,MediumHigh,Medium,Medium,Medium,White
MediumLow,MediumLow,Medium,High,MediumLow,Medium,MediumHigh,White
MediumLow,High,MediumHigh,High,Medium,MediumHigh,MediumLow,White
MediumHigh,MediumHigh,MediumLow,MediumHigh,Medium,MediumLow,High,White
High,High,MediumHigh,High,Medium,MediumLow,Medium,White
Medium,Medium,High,MediumHigh,MediumLow,Medium,High,White
High,MediumHigh,MediumHigh,Medium,MediumLow,MediumLow,High,White
MediumHigh,MediumHigh,Medium,MediumHigh,MediumLow,MediumLow,MediumHigh,White
Medium,MediumLow,MediumLow,Medium,Medium,MediumLow,MediumLow,White
Medium,MediumLow,MediumHigh,High,MediumHigh,MediumLow,MediumLow,White
Medium,High,High,High,High,Medium,MediumLow,White
Medium,High,High,High,High,MediumLow,Medium,White
MediumLow,Medium,Medium,MediumHigh,Medium,MediumHigh,MediumLow,White
MediumHigh,High,MediumLow,Medium,MediumHigh,High,Medium,White
High,MediumHigh,MediumLow,MediumLow,Medium,High,MediumHigh,Red
High,Medium,MediumLow,MediumLow,High,MediumHigh,MediumHigh,Red
Medium,Medium,MediumLow,MediumLow,High,MediumHigh,MediumHigh,Red
Medium,MediumLow,MediumLow,MediumHigh,High,Medium,Medium,White
Medium,MediumHigh,High,MediumHigh,MediumHigh,Medium,MediumHigh,White
Medium,MediumHigh,High,High,Medium,High,MediumLow,White
Medium,Medium,Medium,Medium,High,High,High,White
MediumHigh,MediumHigh,Medium,MediumHigh,MediumLow,MediumLow,MediumHigh,White
MediumLow,MediumLow,Medium,MediumLow,High,Medium,High,White
Medium,High,Medium,High,MediumHigh,MediumHigh,High,White
Medium,MediumHigh,High,High,Medium,Medium,Medium,White
Medium,MediumHigh,High,Medium,Medium,MediumLow,High,White
Medium,High,High,MediumHigh,MediumLow,MediumHigh,MediumLow,White
MediumHigh,MediumHigh,Medium,Medium,MediumHigh,MediumLow,MediumLow,White
Medium,MediumLow,MediumLow,MediumLow,Medium,MediumLow,Medium,White
MediumLow,Medium,Medium,High,MediumHigh,High,Medium,White
